data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,qtd_pdfs,tipos_pdf_concat
2021-06-11,DSP - DESPACHO 1685/2021,DSP,DESPACHO,1685/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2021-06-11,DSP - DESPACHO 1686/2021,DSP,DESPACHO,1686/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2021-06-11,DSP - DESPACHO 1687/2021,DSP,DESPACHO,1687/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 014/2021,PRT,PORTARIA,014/2021,MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 147/2021,PRT,PORTARIA,147/2021,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 151/2021,PRT,PORTARIA,151/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Nomeação,NULL,2,Texto Integral | Voto
2021-06-11,PRT - PORTARIA 152/2021,PRT,PORTARIA,152/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Exoneração,NULL,2,Texto Integral | Voto
2021-06-11,PRT - PORTARIA 153/2021,PRT,PORTARIA,153/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,2,Texto Integral | Voto
2021-06-11,PRT - PORTARIA 155/2021,PRT,PORTARIA,155/2021,SAF/ANEEL,REVOGADA,1,Designação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 157/2021,PRT,PORTARIA,157/2021,SAF/SGI/SLC/ANEEL,REVOGADA,1,Designação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 158/2021,PRT,PORTARIA,158/2021,SAF/ANEEL,REVOGADA,1,Designação,NULL,1,Texto Integral
2021-06-11,PRT - PORTARIA 159/2021,PRT,PORTARIA,159/2021,SAF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Designação,NULL,1,Texto Integral
2021-06-11,PRT - PORTARIA 161/2021,PRT,PORTARIA,161/2021,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença,NULL,1,Texto Integral
